BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460302.670170,1.00007,0.00160,1.4872,0.22,-0.37,14.14,126536
2460302.670483,1.00344,0.00160,1.4845,0.22,-0.12,14.02,134434
2460302.670796,0.99979,0.00159,1.4817,-0.07,-0.23,14.27,117344
2460302.671109,1.00062,0.00159,1.4791,0.26,-0.32,14.12,126312
2460302.671422,1.00401,0.00159,1.4764,0.06,0.04,13.99,128680
2460302.671735,0.99897,0.00157,1.4737,-0.34,-0.10,14.25,117133
2460302.672048,1.00197,0.00157,1.4710,0.07,0.07,14.24,121445
2460302.672361,1.00146,0.00157,1.4684,-0.31,0.04,14.29,115402
2460302.672674,1.00129,0.00156,1.4657,-0.05,-0.15,14.50,116310
2460302.672975,1.00003,0.00156,1.4631,-0.08,0.12,14.34,116882
2460302.673288,1.00040,0.00155,1.4605,0.22,-0.20,14.22,127304
2460302.673601,0.99837,0.00154,1.4579,-0.20,0.06,14.22,121741
2460302.673914,1.00111,0.00154,1.4554,-0.14,0.09,14.37,122604
2460302.674227,0.99989,0.00154,1.4528,-0.32,-0.10,14.51,115335
2460302.674540,1.00194,0.00154,1.4502,-0.08,0.06,14.07,116448
2460302.674853,0.99957,0.00153,1.4477,0.03,0.13,14.33,123090
2460302.675166,0.99608,0.00152,1.4451,0.08,0.05,14.48,121593
2460302.675479,0.99902,0.00152,1.4426,0.04,0.03,14.14,142749
2460302.675792,1.00109,0.00152,1.4402,-0.16,0.18,14.54,120216
2460302.676105,1.00141,0.00152,1.4377,0.27,0.07,14.39,111230
2460302.676430,0.99934,0.00151,1.4351,0.18,-1.35,13.73,122100
2460302.676743,1.00335,0.00151,1.4326,-0.32,-0.39,14.43,115680
2460302.677056,1.00161,0.00150,1.4302,0.14,-0.20,14.40,117319
2460302.677381,0.99916,0.00150,1.4277,-0.19,-0.14,14.41,115248
2460302.677694,0.99993,0.00149,1.4253,0.07,-0.08,14.62,111462
2460302.678007,0.99657,0.00148,1.4229,-0.38,-0.22,14.79,112643
2460302.678320,0.99939,0.00148,1.4204,-0.07,0.01,14.54,115348
2460302.678633,1.00158,0.00148,1.4181,-0.20,-0.17,14.41,116875
2460302.678946,0.99891,0.00147,1.4157,0.07,0.12,14.62,110881
2460302.679259,0.99780,0.00147,1.4134,0.14,0.03,14.37,113580
2460302.679561,0.99990,0.00147,1.4110,0.30,0.16,14.33,115888
2460302.679885,0.99954,0.00146,1.4087,0.07,0.10,14.50,121778
2460302.680210,1.00072,0.00146,1.4062,-0.13,0.22,15.02,103419
2460302.680523,1.00312,0.00146,1.4039,0.25,0.07,14.71,122723
2460302.680836,1.00029,0.00145,1.4016,-0.18,-0.01,14.46,112014
2460302.681149,1.00101,0.00145,1.3994,0.35,0.04,14.55,123788
2460302.681462,1.00110,0.00145,1.3971,0.17,0.23,14.31,125260
2460302.681821,0.99982,0.00144,1.3945,-0.53,-0.21,14.62,98263
2460302.682134,1.00117,0.00144,1.3922,-0.14,0.05,14.28,122758
2460302.682459,1.00026,0.00143,1.3900,0.20,0.04,14.32,120045
2460302.682760,1.00012,0.00143,1.3878,-0.14,0.19,14.47,112071
2460302.683073,1.00099,0.00143,1.3856,0.08,-0.04,14.37,114564
2460302.683398,1.00237,0.00143,1.3833,0.28,0.22,14.47,122638
2460302.683711,1.00058,0.00142,1.3812,0.26,0.05,14.38,125596
2460302.684024,1.00028,0.00141,1.3790,0.20,0.15,14.44,117628
2460302.684337,0.99896,0.00141,1.3768,-0.05,0.07,14.70,111141
2460302.684649,0.99945,0.00141,1.3746,0.14,0.18,14.32,119253
2460302.684962,0.99802,0.00140,1.3724,-0.42,0.11,14.46,127117
2460302.685275,1.00286,0.00140,1.3703,0.17,0.03,14.56,113946
2460302.685588,0.99906,0.00140,1.3682,0.21,-0.09,14.45,117911
2460302.685901,1.00180,0.00140,1.3661,0.37,0.12,14.63,115337
2460302.686214,1.00276,0.00139,1.3640,0.04,0.03,14.56,114715
2460302.686527,1.00307,0.00139,1.3619,0.11,0.27,14.56,107016
2460302.686840,1.00152,0.00138,1.3599,0.02,-0.11,14.71,114008
2460302.687142,0.99991,0.00138,1.3578,-0.06,0.17,14.32,111803
2460302.687455,0.99867,0.00137,1.3558,0.12,0.12,14.55,114678
2460302.687768,1.00228,0.00138,1.3538,0.11,-0.24,14.75,107249
2460302.688081,0.99934,0.00137,1.3518,0.33,0.26,14.42,119556
2460302.688394,1.00224,0.00137,1.3497,0.21,0.19,14.37,126444
2460302.688765,0.99986,0.00136,1.3473,0.17,-0.21,14.19,133019
2460302.689078,1.00043,0.00136,1.3453,0.04,-0.00,14.36,127478
2460302.689391,0.99968,0.00136,1.3434,-0.09,-0.03,14.34,120501
2460302.689704,1.00088,0.00135,1.3413,0.18,0.20,14.23,121139
2460302.690017,1.00125,0.00135,1.3394,0.47,-0.12,14.07,151082
2460302.690329,1.00170,0.00135,1.3374,0.30,0.07,14.40,131900
2460302.690642,1.00116,0.00135,1.3355,-0.07,0.17,14.21,122557
2460302.690955,1.00008,0.00134,1.3335,0.05,0.11,14.14,120640
2460302.691268,1.00102,0.00134,1.3316,0.21,-0.03,14.42,124152
2460302.691581,1.00072,0.00134,1.3296,0.04,0.10,14.27,119380
2460302.691894,0.99875,0.00133,1.3277,0.49,0.02,14.54,128001
2460302.692207,1.00151,0.00133,1.3258,0.51,-0.07,14.53,117427
2460302.692520,0.99691,0.00132,1.3239,0.33,0.07,14.00,123147
2460302.692833,1.00095,0.00132,1.3221,-0.00,0.00,14.55,117851
2460302.693146,1.00130,0.00132,1.3202,0.06,-0.13,14.21,121954
2460302.693459,1.00095,0.00132,1.3183,0.39,0.34,14.48,119964
2460302.693773,0.99797,0.00131,1.3165,0.16,-0.02,14.22,132095
2460302.694086,1.00081,0.00131,1.3147,0.43,0.18,14.15,130757
2460302.694388,0.99951,0.00131,1.3129,0.14,-0.01,14.38,127656
2460302.694735,1.00218,0.00131,1.3109,0.08,-0.43,13.93,128328
2460302.695048,1.00098,0.00130,1.3090,0.12,0.09,14.02,141231
2460302.695361,1.00141,0.00130,1.3072,0.31,0.05,14.23,124384
2460302.695674,0.99943,0.00130,1.3054,0.16,0.18,14.23,123219
2460302.695987,1.00039,0.00129,1.3037,0.40,0.05,13.94,127119
2460302.696301,0.99947,0.00129,1.3019,0.15,0.11,14.17,128306
2460302.696613,1.00261,0.00129,1.3001,0.37,0.04,13.98,138814
2460302.696926,0.99809,0.00128,1.2983,0.12,0.23,14.22,128256
2460302.697239,1.00043,0.00128,1.2966,0.37,0.11,14.41,132572
2460302.697552,0.99928,0.00128,1.2948,0.02,0.14,14.43,122833
2460302.697865,1.00011,0.00128,1.2931,0.32,0.04,14.26,140214
2460302.698178,1.00201,0.00128,1.2914,0.15,-0.01,14.56,124384
2460302.698491,1.00022,0.00127,1.2897,0.12,0.13,13.92,135679
2460302.698804,1.00061,0.00127,1.2880,0.26,0.14,14.44,131323
2460302.699105,1.00030,0.00127,1.2863,-0.07,0.20,14.37,119732
2460302.699418,1.00000,0.00127,1.2846,0.40,0.14,14.14,136402
2460302.699731,0.99738,0.00126,1.2830,0.40,-0.13,14.12,140666
2460302.700044,1.00070,0.00126,1.2813,0.04,0.14,14.33,118281
2460302.700357,0.99987,0.00126,1.2796,0.25,0.07,13.66,132706
2460302.700682,1.00160,0.00126,1.2779,0.20,0.13,13.95,134876
2460302.700995,1.00218,0.00125,1.2763,0.14,-0.08,14.08,129684
2460302.701308,0.99927,0.00125,1.2746,0.36,0.48,14.05,125295
2460302.701621,0.99918,0.00125,1.2730,0.09,0.08,13.82,128940
2460302.701934,0.99975,0.00124,1.2714,-0.01,-0.03,14.18,130287
2460302.702247,1.00084,0.00124,1.2697,0.30,0.08,13.85,137576
2460302.702560,1.00023,0.00124,1.2681,0.23,-0.02,14.16,126099
2460302.702873,0.99949,0.00124,1.2665,0.10,-0.23,14.29,124931
2460302.703197,1.00234,0.00124,1.2649,0.08,0.05,14.13,133615
2460302.703510,0.99935,0.00123,1.2633,0.45,0.21,13.86,147622
2460302.703835,1.00008,0.00123,1.2617,0.30,0.04,14.05,128070
2460302.704148,0.99671,0.00122,1.2602,0.20,0.26,14.12,136685
2460302.704461,1.00184,0.00123,1.2586,0.31,0.01,14.04,120648
2460302.704774,1.00006,0.00122,1.2571,0.28,-0.04,14.06,126356
2460302.705075,1.00026,0.00122,1.2555,0.23,0.11,14.40,128748
2460302.705388,1.00031,0.00122,1.2540,0.09,-0.12,14.17,134659
2460302.705713,0.99838,0.00121,1.2525,0.29,0.12,14.25,132289
2460302.706026,0.99762,0.00121,1.2510,0.27,-0.06,13.75,135424
2460302.706339,0.99967,0.00121,1.2494,0.35,0.13,14.04,128746
2460302.706652,0.99901,0.00121,1.2479,0.24,0.17,14.21,120102
2460302.706965,0.99911,0.00120,1.2464,0.52,0.03,13.64,165248
2460302.707278,0.99835,0.00120,1.2450,0.03,0.09,13.73,151350
2460302.707649,1.00196,0.00120,1.2432,0.16,-0.02,13.61,145271
2460302.707962,1.00022,0.00120,1.2417,0.70,-0.14,13.63,147644
2460302.708275,0.99817,0.00120,1.2403,-0.03,0.01,13.54,150813
2460302.708588,0.99898,0.00119,1.2388,0.14,-0.14,13.35,158425
2460302.708900,0.99868,0.00119,1.2374,0.18,0.18,13.55,168773
2460302.709213,0.99957,0.00119,1.2359,0.17,-0.00,13.37,141893
2460302.709515,0.99974,0.00119,1.2345,0.46,0.19,13.64,145529
2460302.709828,0.99780,0.00118,1.2331,0.14,0.19,13.69,151386
2460302.710152,1.00085,0.00119,1.2317,0.35,-0.01,13.61,143200
2460302.710466,0.99935,0.00118,1.2303,0.01,0.11,13.53,154279
2460302.710779,0.99845,0.00118,1.2289,0.61,0.02,13.62,158969
2460302.711081,1.00019,0.00118,1.2275,-0.08,-0.04,13.51,155582
2460302.711394,0.99968,0.00118,1.2261,0.16,0.13,13.76,149700
2460302.711707,0.99774,0.00117,1.2247,0.00,0.11,13.49,156311
2460302.712031,0.99946,0.00117,1.2233,0.06,0.02,13.81,158689
2460302.712344,0.99838,0.00117,1.2220,0.20,0.25,13.41,168138
2460302.712657,0.99910,0.00117,1.2206,0.34,0.09,13.78,137420
2460302.712959,0.99990,0.00117,1.2193,0.07,-0.11,13.53,150927
2460302.713272,0.99763,0.00116,1.2179,0.38,-0.01,13.83,150021
2460302.713585,1.00022,0.00116,1.2166,0.42,-0.01,13.97,137497
2460302.713886,1.00026,0.00116,1.2153,0.37,0.03,13.65,147064
2460302.714199,0.99937,0.00116,1.2140,0.09,0.06,13.73,148430
2460302.714512,1.00144,0.00116,1.2127,0.07,0.14,13.70,155676
2460302.714825,0.99710,0.00115,1.2114,0.27,0.11,13.71,136977
2460302.715138,0.99721,0.00115,1.2101,0.27,0.14,13.59,148863
2460302.715439,0.99848,0.00115,1.2088,0.19,-0.00,14.05,134364
2460302.715752,0.99874,0.00115,1.2075,0.31,0.12,13.81,135754
2460302.716065,0.99928,0.00115,1.2062,0.39,-0.03,13.84,130200
2460302.716378,0.99975,0.00114,1.2049,0.26,0.32,14.07,128371
2460302.716691,0.99940,0.00114,1.2037,0.04,0.25,14.13,130914
2460302.717016,0.99999,0.00114,1.2024,0.31,0.04,14.12,126913
2460302.717375,1.00006,0.00114,1.2009,0.17,-0.14,13.62,161249
2460302.717688,0.99884,0.00114,1.1997,0.27,-0.01,13.92,148203
2460302.718001,0.99730,0.00113,1.1985,0.27,0.17,13.83,146268
2460302.718302,0.99977,0.00113,1.1972,0.03,-0.18,13.68,154034
2460302.718627,0.99719,0.00113,1.1960,0.18,0.19,13.89,136898
2460302.718940,1.00000,0.00113,1.1948,0.25,-0.06,13.61,141472
2460302.719242,0.99685,0.00112,1.1936,0.10,-0.09,13.80,139619
2460302.719555,1.00077,0.00113,1.1924,0.36,-0.07,13.93,140955
2460302.719867,0.99911,0.00112,1.1912,0.26,-0.07,14.17,137975
2460302.720180,0.99822,0.00112,1.1900,0.13,0.04,14.11,128545
2460302.720493,1.00231,0.00112,1.1888,0.01,0.18,13.42,136641
2460302.720818,0.99879,0.00112,1.1876,0.04,0.02,13.62,139651
2460302.721131,1.00079,0.00112,1.1864,0.29,0.01,13.66,138641
2460302.721444,0.99943,0.00112,1.1852,0.05,0.05,14.17,142038
2460302.721757,0.99899,0.00111,1.1841,0.24,0.05,14.08,132244
2460302.722058,0.99938,0.00111,1.1829,0.39,-0.03,13.87,132096
2460302.722383,0.99804,0.00111,1.1818,0.28,-0.15,13.91,128855
2460302.722684,0.99862,0.00111,1.1806,0.21,-0.20,13.85,130618
2460302.722997,0.99977,0.00111,1.1795,0.07,-0.01,13.75,135055
2460302.723310,0.99823,0.00111,1.1784,0.08,0.05,13.93,148693
2460302.723623,0.99670,0.00110,1.1772,0.23,0.10,13.77,142642
2460302.723936,0.99955,0.00110,1.1761,0.12,0.15,14.25,137031
2460302.724249,0.99923,0.00110,1.1750,0.12,0.07,13.85,145769
2460302.724562,0.99981,0.00110,1.1739,0.24,0.03,13.69,138703
2460302.724875,0.99950,0.00110,1.1728,0.01,0.08,13.89,148775
2460302.725188,1.00120,0.00110,1.1717,0.16,0.27,13.99,134840
2460302.725501,0.99884,0.00110,1.1706,0.01,-0.06,14.13,152109
2460302.725814,1.00087,0.00110,1.1695,0.25,-0.06,13.77,140390
2460302.726173,0.99960,0.00109,1.1683,-0.01,-0.16,13.87,142491
2460302.726486,0.99958,0.00109,1.1672,0.17,-0.10,13.87,141075
2460302.726800,1.00046,0.00109,1.1662,0.14,-0.09,13.68,131348
2460302.727113,0.99843,0.00109,1.1651,-0.03,-0.09,13.66,146485
2460302.727426,0.99958,0.00109,1.1640,0.08,0.15,13.63,143145
2460302.727739,0.99688,0.00108,1.1630,0.39,-0.11,13.72,137974
2460302.728052,0.99993,0.00108,1.1619,0.16,0.26,13.80,151121
2460302.728365,0.99965,0.00108,1.1609,0.27,0.07,13.63,130476
2460302.728678,0.99908,0.00108,1.1598,0.38,0.04,13.63,145598
2460302.728991,0.99932,0.00108,1.1588,0.03,0.10,13.63,149618
2460302.729304,1.00079,0.00108,1.1578,0.23,-0.03,13.64,144120
2460302.729617,0.99907,0.00108,1.1568,0.36,-0.05,13.52,146504
2460302.729930,0.99953,0.00107,1.1558,0.17,0.01,13.49,140823
2460302.730255,0.99911,0.00107,1.1547,0.16,-0.12,13.36,154145
2460302.730568,1.00057,0.00107,1.1538,0.18,-0.10,13.36,146058
2460302.730881,0.99970,0.00107,1.1528,0.45,0.14,13.48,147893
2460302.731194,0.99791,0.00107,1.1518,-0.01,0.02,13.39,162155
2460302.731507,0.99905,0.00107,1.1508,0.07,0.12,13.47,155399
2460302.731831,0.99808,0.00106,1.1498,0.01,0.09,13.31,150235
2460302.732144,0.99898,0.00106,1.1488,0.21,0.15,13.33,141812
2460302.732457,0.99891,0.00106,1.1478,0.20,0.13,13.80,132999
2460302.732770,0.99931,0.00106,1.1469,-0.20,-0.01,13.63,160551
2460302.733083,0.99885,0.00106,1.1459,0.19,0.03,13.66,137374
2460302.733396,0.99864,0.00106,1.1450,0.26,0.12,13.74,145281
2460302.733756,0.99942,0.00106,1.1439,0.54,0.30,13.28,145733
2460302.734068,0.99777,0.00105,1.1429,0.48,0.14,13.40,137149
2460302.734381,0.99908,0.00105,1.1420,0.62,0.19,13.43,150272
2460302.734694,0.99815,0.00105,1.1411,-0.07,0.39,13.29,154645
2460302.735007,0.99959,0.00105,1.1402,0.33,0.21,13.36,139776
2460302.735320,0.99938,0.00105,1.1393,0.50,0.13,13.30,145607
2460302.735633,0.99841,0.00105,1.1383,0.42,0.07,13.67,138815
2460302.735946,0.99923,0.00105,1.1375,0.01,-0.01,13.30,154537
2460302.736259,0.99951,0.00105,1.1365,0.01,0.06,13.70,153569
2460302.736572,0.99977,0.00105,1.1357,0.19,-0.00,13.41,145083
2460302.736885,1.00090,0.00105,1.1348,0.31,0.20,13.39,148297
2460302.737198,1.00009,0.00104,1.1339,0.17,0.09,13.15,163005
2460302.737511,1.00032,0.00104,1.1330,0.24,0.10,13.45,143718
2460302.737824,0.99996,0.00104,1.1321,0.38,-0.14,13.33,154821
2460302.738137,0.99814,0.00104,1.1313,0.41,-0.02,13.55,139119
2460302.738450,0.99883,0.00104,1.1304,0.11,0.02,13.38,154493
2460302.738763,0.99886,0.00104,1.1295,0.09,0.03,13.18,148630
2460302.739076,0.99915,0.00104,1.1287,-0.08,-0.02,13.22,151803
2460302.739401,0.99891,0.00103,1.1278,0.13,0.02,13.31,154502
2460302.739714,0.99887,0.00103,1.1270,0.33,-0.11,13.16,153517
2460302.740027,0.99854,0.00103,1.1261,-0.09,0.02,13.35,154518
2460302.740340,0.99941,0.00103,1.1253,0.04,0.10,13.40,163187
2460302.740653,0.99825,0.00103,1.1245,-0.17,0.02,13.25,157551
2460302.740966,0.99948,0.00103,1.1236,0.51,0.20,13.24,151829
2460302.741279,0.99801,0.00103,1.1228,0.24,-0.08,13.22,157280
2460302.741592,0.99822,0.00103,1.1220,0.15,-0.16,13.15,163212
2460302.741905,0.99889,0.00103,1.1212,-0.08,0.10,13.33,156022
2460302.742218,0.99900,0.00103,1.1204,0.33,-0.04,13.52,147769
2460302.742531,1.00049,0.00103,1.1196,0.29,-0.04,13.40,146901
2460302.742843,1.00023,0.00102,1.1188,-0.16,-0.01,13.21,155708
2460302.743192,0.99783,0.00102,1.1179,-0.07,0.17,13.56,150662
2460302.743505,0.99896,0.00102,1.1171,-0.12,-0.21,13.32,146267
2460302.743818,0.99997,0.00102,1.1164,-0.21,-0.13,13.24,159412
2460302.744131,0.99873,0.00102,1.1156,-0.28,-0.05,13.42,145114
2460302.744444,0.99851,0.00102,1.1148,-0.27,-0.09,13.40,157481
2460302.744745,1.00039,0.00102,1.1141,-0.05,-0.23,13.57,158431
2460302.745058,0.99833,0.00102,1.1133,-0.24,-0.04,13.30,149322
2460302.745371,0.99776,0.00101,1.1126,0.04,-0.17,13.50,145089
2460302.745684,1.00184,0.00102,1.1118,-0.32,-0.03,13.57,145153
2460302.745997,0.99992,0.00101,1.1111,0.03,-0.17,13.52,158532
2460302.746310,1.00088,0.00101,1.1103,0.06,0.04,13.72,149845
2460302.746623,1.00033,0.00101,1.1096,-0.21,-0.09,13.41,161425
2460302.746936,0.99955,0.00101,1.1089,0.20,0.11,13.84,144728
2460302.747249,0.99991,0.00101,1.1082,-0.00,-0.08,13.65,166376
2460302.747562,0.99878,0.00101,1.1074,0.01,-0.05,13.65,139893
2460302.747875,0.99950,0.00101,1.1067,0.13,0.24,13.46,152651
2460302.748188,0.99852,0.00101,1.1060,-0.02,0.04,13.64,150688
2460302.748501,0.99969,0.00101,1.1053,0.25,0.11,13.50,143976
2460302.748814,0.99861,0.00100,1.1046,0.05,-0.11,13.46,139520
2460302.749127,0.99918,0.00100,1.1039,0.08,0.14,13.43,159092
2460302.749440,0.99963,0.00100,1.1032,0.12,-0.08,13.43,145888
2460302.749753,1.00003,0.00100,1.1025,0.03,-0.16,13.31,151028
2460302.750066,0.99977,0.00100,1.1018,0.18,-0.00,13.49,157645
2460302.750379,0.99902,0.00100,1.1012,0.12,-0.10,13.71,142655
2460302.750692,0.99805,0.00100,1.1005,0.24,0.05,13.58,132712
2460302.751005,1.00089,0.00100,1.0998,0.38,0.09,13.57,141403
2460302.751318,0.99981,0.00100,1.0992,-0.01,-0.20,13.56,156456
2460302.751631,0.99887,0.00100,1.0985,0.10,-0.03,13.41,151829
2460302.751944,0.99899,0.00100,1.0978,0.17,0.15,13.48,172207
2460302.752257,0.99932,0.00100,1.0972,0.20,-0.17,13.14,156115
2460302.752570,1.00026,0.00099,1.0965,0.14,0.11,13.36,158111
2460302.752895,0.99881,0.00099,1.0959,0.10,-0.08,13.69,142925
